id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,252,2,12,2019-08-31,0.23,1,357
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,125,7,6,2017-07-29,0.10,1,362
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,90,2,35,2019-09-11,0.86,2,338
339332,Ocean Front/2 bedrooms ( 31ft trailer ),1716608,Pierrette,Gloucester,Beresford,47.69941,-65.68834,Entire home/apt,110,7,3,2019-07-23,0.04,2,333
791070,Private room in a friendly home!,72953,Stephen,Westmorland,Sackville,45.89572,-64.37684,Private room,66,1,47,2019-09-15,0.61,1,357
818871,Mazelton Yurt,4301065,Jason,Kent,Richibucto,46.62773,-64.91609,Entire home/apt,150,2,17,2019-08-19,0.23,1,117
872640,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86785,-64.52187,Entire home/apt,135,7,3,2019-08-18,0.04,1,365
905910,"2 bedroom bungalow ideal - tv, movie film location",4847531,Forsale,Queens,Cambridge,45.85825,-66.11696,Entire home/apt,130,7,0,,,1,358
927493,ROSE COTTAGE,2031390,Miriam,Westmorland,Shediac,46.23977,-64.51789,Entire home/apt,298,7,1,2013-07-17,0.01,1,334
950843,"Centrally located  3 bdrm  home , bkfst items",3032106,Gerry,Westmorland,Moncton,46.10555,-64.81432,Entire home/apt,99,2,158,2019-09-10,2.13,1,352
986301,Downtown Home on quiet block,252277,Sarah,Westmorland,Moncton,46.09473,-64.78427,Entire home/apt,147,1,114,2019-09-01,2.70,5,362
1105135,"Furnished Two Bedroom: fully equipped, private",6069033,Donna,York,Fredericton,45.94179,-66.63493,Entire home/apt,119,30,0,,,2,362
1105242,Furnished  executive home: private oasis,6069033,Donna,York,Fredericton,45.94104,-66.63553,Entire home/apt,129,30,3,2018-12-11,0.08,2,363
1199731,"Victorian mansion, Queen bed",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27348,-66.05807,Private room,145,1,126,2019-09-16,1.78,8,347
