neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Saint Andrews,New Brunswick,Entire home/apt,2,6,2,252.0
Dundas,New Brunswick,Entire home/apt,7,5,3,125.0
City of Saint John,New Brunswick,Entire home/apt,2,4,2,90.0
Beresford,New Brunswick,Entire home/apt,7,4,2,110.0
Sackville,New Brunswick,Private room,1,2,1,66.0
Richibucto,New Brunswick,Entire home/apt,2,6,2,150.0
Shippagan,New Brunswick,Entire home/apt,7,6,2,135.0
Shediac,New Brunswick,Entire home/apt,7,4,2,298.0
Moncton,New Brunswick,Entire home/apt,2,6,3,99.0
Moncton,New Brunswick,Entire home/apt,1,5,3,147.0
Fredericton,New Brunswick,Entire home/apt,30,4,2,119.0
Fredericton,New Brunswick,Entire home/apt,30,6,3,129.0
City of Saint John,New Brunswick,Private room,1,2,1,145.0
City of Saint John,New Brunswick,Private room,1,2,1,125.0
Bright,New Brunswick,Entire home/apt,1,4,2,98.0
Wellington,New Brunswick,Entire home/apt,5,5,2,150.0
Shediac,New Brunswick,Entire home/apt,4,4,2,135.0
Simonds,New Brunswick,Private room,1,2,1,85.0
Richibucto,New Brunswick,Entire home/apt,2,5,2,150.0
Cambridge,New Brunswick,Entire home/apt,2,5,3,125.0
Kingston,New Brunswick,Entire home/apt,3,8,4,130.0
Hillsborough,New Brunswick,Entire home/apt,2,2,1,150.0
Alnwick,New Brunswick,Entire home/apt,3,3,1,60.0
Fredericton,New Brunswick,Entire home/apt,1,2,1,99.0
City of Saint John,New Brunswick,Private room,1,2,1,160.0
Fredericton,New Brunswick,Entire home/apt,1,2,1,99.0
Saint Andrews,New Brunswick,Entire home/apt,3,4,1,125.0
Fredericton,New Brunswick,Private room,1,2,1,80.0
Shediac,New Brunswick,Entire home/apt,7,7,3,195.0
Wellington,New Brunswick,Private room,5,3,2,160.0
Grand Manan,New Brunswick,Entire home/apt,7,2,1,150.0
Saint Andrews,New Brunswick,Entire home/apt,3,2,1,119.0
Shediac,New Brunswick,Entire home/apt,7,6,3,200.0
Saint Andrews,New Brunswick,Entire home/apt,2,7,3,190.0
Hopewell,New Brunswick,Private room,1,2,2,99.0
Fredericton,New Brunswick,Entire home/apt,1,2,1,99.0
Wickham,New Brunswick,Private room,1,2,1,60.0
Westmorland,New Brunswick,Private room,1,2,1,90.0
Westmorland,New Brunswick,Private room,1,2,1,97.0
Chipman,New Brunswick,Entire home/apt,2,2,1,80.0
Harvey,New Brunswick,Private room,2,3,2,135.0
Saint-Louis,New Brunswick,Private room,1,3,1,115.0
Shediac,New Brunswick,Entire home/apt,7,4,2,164.0
City of Saint John,New Brunswick,Entire home/apt,2,4,2,135.0
Moncton,New Brunswick,Entire home/apt,2,2,1,58.0
Wellington,New Brunswick,Entire home/apt,2,4,1,95.0
Moncton,New Brunswick,Entire home/apt,2,2,1,110.0
Moncton,New Brunswick,Private room,1,2,1,54.0
Blissfield,New Brunswick,Entire home/apt,2,6,2,170.0
Gagetown,New Brunswick,Hotel room,1,2,1,52.0
Fredericton,New Brunswick,Entire home/apt,3,3,1,60.0
Saint-Louis,New Brunswick,Private room,1,2,1,115.0
Pennfield,New Brunswick,Entire home/apt,1,5,3,141.0
Saint Andrews,New Brunswick,Private room,1,1,1,40.0
Lepreau,New Brunswick,Entire home/apt,3,4,2,141.0
Shippagan,New Brunswick,Entire home/apt,3,4,2,125.0
Moncton,New Brunswick,Entire home/apt,2,6,2,179.0
Saint Andrews,New Brunswick,Private room,1,2,1,109.0
Saint Andrews,New Brunswick,Private room,1,2,1,109.0
Shediac,New Brunswick,Entire home/apt,5,6,3,249.0
Southhampton,New Brunswick,Entire home/apt,1,3,1,130.0
Wickham,New Brunswick,Entire home/apt,3,6,3,89.0
Salisbury,New Brunswick,Entire home/apt,3,6,4,110.0
City of Saint John,New Brunswick,Private room,1,4,2,125.0
Grand Manan,New Brunswick,Private room,2,3,1,50.0
City of Saint John,New Brunswick,Private room,1,2,1,99.0
Wickham,New Brunswick,Entire home/apt,7,6,2,115.0
Saint Andrews,New Brunswick,Private room,1,2,1,109.0
Moncton,New Brunswick,Private room,2,2,1,50.0
Harvey,New Brunswick,Private room,2,3,1,135.0
Harvey,New Brunswick,Private room,2,2,1,135.0
Douglas,New Brunswick,Entire home/apt,3,4,1,225.0
Shediac,New Brunswick,Entire home/apt,2,4,2,190.0
Simonds,New Brunswick,Private room,1,2,1,85.0
Dundas,New Brunswick,Entire home/apt,5,7,3,110.0
Saint Stephen,New Brunswick,Entire home/apt,4,5,3,125.0
City of Saint John,New Brunswick,Private room,1,2,1,70.0
Hillsborough,New Brunswick,Private room,2,2,1,90.0
Shippagan,New Brunswick,Entire home/apt,4,4,2,80.0
Dundas,New Brunswick,Entire home/apt,5,8,3,199.0
Fredericton,New Brunswick,Entire home/apt,2,6,3,135.0
Botsford,New Brunswick,Entire home/apt,4,6,2,103.0
Campobello,New Brunswick,Entire home/apt,2,5,2,62.0
Fredericton,New Brunswick,Entire home/apt,1,5,2,54.0
Saint Andrews,New Brunswick,Private room,1,2,1,60.0
Saint Andrews,New Brunswick,Private room,1,4,1,80.0
Sackville,New Brunswick,Hotel room,1,2,1,300.0
Kent,New Brunswick,Entire home/apt,1,5,2,125.0
Moncton,New Brunswick,Private room,1,2,1,58.0
Richibucto,New Brunswick,Entire home/apt,4,8,4,200.0
Balmoral,New Brunswick,Entire home/apt,1,2,1,50.0
Moncton,New Brunswick,Private room,1,2,1,50.0
Harvey,New Brunswick,Entire home/apt,2,8,4,150.0
Shediac,New Brunswick,Private room,1,2,1,90.0
Fredericton,New Brunswick,Entire home/apt,2,8,3,150.0
Dundas,New Brunswick,Entire home/apt,7,7,3,300.0
Sussex,New Brunswick,Private room,1,2,1,76.0
Sussex,New Brunswick,Private room,1,2,1,76.0
Lincoln,New Brunswick,Private room,1,2,1,68.0
Newcastle,New Brunswick,Entire home/apt,2,4,1,95.0
Shippagan,New Brunswick,Entire home/apt,3,6,2,125.0
Canterbury,New Brunswick,Entire home/apt,7,6,4,249.0
Dundas,New Brunswick,Entire home/apt,2,6,3,195.0
Fredericton,New Brunswick,Private room,1,1,1,80.0
Bathurst,New Brunswick,Entire home/apt,7,7,3,215.0
Fredericton,New Brunswick,Entire home/apt,5,8,3,90.0
Sheffield,New Brunswick,Entire home/apt,5,8,2,160.0
Moncton,New Brunswick,Private room,1,2,1,60.0
City of Saint John,New Brunswick,Entire home/apt,2,2,1,149.0
City of Saint John,New Brunswick,Private room,1,2,1,119.0
Saint Andrews,New Brunswick,Entire home/apt,4,4,2,279.0
Moncton,New Brunswick,Entire home/apt,1,7,3,95.0
Shediac,New Brunswick,Entire home/apt,2,6,2,200.0
City of Saint John,New Brunswick,Entire home/apt,2,4,1,94.0
Moncton,New Brunswick,Private room,1,1,1,62.0
Fredericton,New Brunswick,Entire home/apt,2,4,2,85.0
Saint Stephen,New Brunswick,Entire home/apt,1,6,2,86.0
City of Saint John,New Brunswick,Entire home/apt,4,7,3,139.0
Grand Falls Town,New Brunswick,Entire home/apt,1,4,2,150.0
Moncton,New Brunswick,Private room,1,2,1,50.0
Moncton,New Brunswick,Private room,1,2,1,50.0
Shediac,New Brunswick,Entire home/apt,7,8,3,249.0
Moncton,New Brunswick,Private room,1,2,1,42.0
Beresford,New Brunswick,Entire home/apt,1,4,2,85.0
City of Saint John,New Brunswick,Entire home/apt,2,2,1,89.0
Richibucto,New Brunswick,Entire home/apt,7,6,3,192.0
Carleton,New Brunswick,Entire home/apt,1,4,2,150.0
Coverdale,New Brunswick,Private room,1,4,1,34.0
City of Saint John,New Brunswick,Private room,1,2,1,46.0
Moncton,New Brunswick,Private room,1,3,1,60.0
City of Saint John,New Brunswick,Private room,1,2,1,164.0
Moncton,New Brunswick,Entire home/apt,3,4,2,125.0
Waterborough,New Brunswick,Entire home/apt,1,6,3,150.0
Saint Martins,New Brunswick,Entire home/apt,1,2,1,149.0
Rothesay,New Brunswick,Private room,2,2,1,85.0
Beresford,New Brunswick,Entire home/apt,1,6,1,85.0
Moncton,New Brunswick,Entire home/apt,3,6,3,130.0
Shediac,New Brunswick,Entire home/apt,7,6,2,170.0
Saint Andrews,New Brunswick,Entire home/apt,2,2,2,150.0
Saint Patrick,New Brunswick,Entire home/apt,3,2,1,160.0
Saint David,New Brunswick,Entire home/apt,3,4,2,325.0
Richibucto,New Brunswick,Entire home/apt,2,5,2,97.0
Saint David,New Brunswick,Entire home/apt,3,6,2,195.0
Saint Andrews,New Brunswick,Entire home/apt,2,2,1,218.0
Dundas,New Brunswick,Entire home/apt,7,7,2,175.0
Botsford,New Brunswick,Entire home/apt,7,4,2,150.0
Colborne,New Brunswick,Entire home/apt,2,4,2,85.0
Norton,New Brunswick,Entire home/apt,2,8,4,300.0
City of Saint John,New Brunswick,Entire home/apt,1,2,1,125.0
Brighton,New Brunswick,Private room,1,4,2,99.0
Saint George,New Brunswick,Entire home/apt,1,5,3,325.0
Fredericton,New Brunswick,Private room,1,2,1,85.0
Hopewell,New Brunswick,Entire home/apt,1,3,1,175.0
Hopewell,New Brunswick,Entire home/apt,1,3,1,164.0
